location;loc_coordinates;root_cm;leaf_number;petiole_cm;leaf_length_cm;leaf_width_cm;petiole-total_length-ratio;length-width-ratio;internodium_cm;stem_mm;cauline_leaves;flowers;siliques_number;reproductive_units;plant_length_cm;plant_length-root_length-ratio;mainshoot;sideshoots ;sidebranches;location_comp;longitude_decimal;latitude_decimal;altitude_m
Am Tief;53°46'5,256, 7°43'18,953;2,6;5;0,2;1,2;0,3;0,2;4;;0,7;;3;3;6;1,1;0,4;;3;0;Spiekeroog;7,721931;53,768127;4
3. Weg;53°46'37,657, 7°42'47,275;3,4;7;;;;;;2,7;0,6;;0;9;9;9,6;2,8;y;0;0;Spiekeroog;7,710460;53,777127;2
3. Weg;53°46'37,657, 7°42'47,275;13,9;9;0,2;1,4;0,5;0,1;2,8;2,8;0,8;;3;14;17;12,8;0,9;y;0;0;Spiekeroog;7,710460;53,777127;2
3. Weg;53°46'37,657, 7°42'47,275;3,4;12;0,3;0,8;0,3;0,4;2,7;3,2;0,6;;1;10;11;11,2;3,3;y;0;0;Spiekeroog;7,710460;53,777127;2
3. Weg;53°46'37,657, 7°42'47,275;3,3;10;0,3;1,1;0,3;0,3;3,7;3,2;0,6;;3;9;12;12,2;3,7;y;0;0;Spiekeroog;7,710460;53,777127;2
Wechloy_Hof;53°9'7,2, 8°9'52,9884;;8;0,8;3;0,9;0,3;3,3;2,5;1;8;11;5;16;27;;y;0;2;Oldenburg;8,164719;53,152233;9
Wechloy_Hof;53°9'7,2, 8°9'52,9884;;10;0,5;1,6;0,5;0,3;3,2;8;1,1;4;19;16;35;20;;y;0;2;Oldenburg;8,164719;53,152233;9
Wechloy_Hof;53°9'7,2, 8°9'52,9884;;7;0,6;2,6;0,9;0,2;2,9;5;1,2;6;8;3;11;22;;y;0;0;Oldenburg;8,164719;53,152233;9
Wechloy_Hof;53°9'7,2, 8°9'52,9884;;0;;;;;;6;0,9;7;16;11;27;25,5;;y;0;1;Oldenburg;8,164719;53,152233;9
Wechloy_Hof;53°9'7,2, 8°9'52,9884;;12;0,7;2,9;0,9;0,2;3,2;8;1;8;13;7;20;26,4;;y;0;2;Oldenburg;8,164719;53,152233;9
